53,4,same,up,down
7.8,4.5,8.3,5.6,1
7.8,7.8,7.8,8.3,0
8.1,7.8,8.4,7.8,2
7.5,8.1,8.2,8.4,2
5.6,7.5,6.2,8.2,2
8.1,5.6,8.8,6.2,2
8.1,8.1,8.9,8.8,2
8.6,8.1,8.8,8.9,2
8.4,8.6,8.2,8.8,2
5.6,8.4,5.9,8.2,1
8.6,5.6,8.4,5.9,1
9,8.6,7.7,8.4,2
10,9,8,7.7,2
9.4,10,8.3,8,0
4.9,9.4,5.1,8.3,1
7.6,4.9,7.9,5.1,1
7.8,7.6,9,7.9,2
8,7.8,9.7,9,1
5.6,8,7,9.7,1
8.2,5.6,9.5,7,2
8.2,8.2,9,9.5,2
8.1,8.2,9.4,9,1
7.6,8.1,9,9.4,0
5.2,7.6,6.6,9,0
8.2,5.2,9.5,6.6,1
7.9,8.2,9.4,9.5,1
8,7.9,10,9.4,0
7.9,8,9.9,10,1
5.8,7.9,7.8,9.9,1
7.8,5.8,8.6,7.8,1
8.2,7.8,8.9,8.6,1
8.1,8.2,9.1,8.9,1
7.9,8.1,8.8,9.1,1
5.2,7.9,6.3,8.8,1
7.8,5.2,8.2,6.3,1
8.1,7.8,7.7,8.2,2
8.3,8.1,7.9,7.7,1
8.2,8.3,8.1,7.9,1
5.6,8.2,6,8.1,2
7.6,5.6,8.1,6,1
8.2,7.6,7.8,8.1,2
8.4,8.2,7.9,7.8,1
8.3,8.4,8.8,7.9,1
5.5,8.3,6,8.8,2
9,5.5,8,6,2
8.8,9,8,8,1
8.9,8.8,8,8,1
7.7,8.9,8.1,8,1
6.8,7.7,6.7,8.1,1
8.2,6.8,8,6.7,2
8.7,8.2,7.6,8,2
9.2,8.7,8,7.6,2
8,9.2,7.6,8,1
