1240,same,up,down
286.66,285.23,287.33,0
287.53,287.53,289.43,2
287.93,290.15,290.81,1
292.82,289.25,293.31,1
294.03,292.82,294.34,2
291.18,291.68,292.7,2
291.81,294.72,294.95,1
294.02,293.49,294.34,1
293.87,293.51,294.45,1
293.41,292.1,293.49,2
292.05,292.12,292.78,2
292.23,292.79,293.16,1
292.88,290.68,293.14,1
290.27,289.17,290.435,2
290.02,290.1,290.32,2
289.45,291.4,291.425,2
290.16,290.95,291.01,2
289.97,290.24,290.35,1
290.16,290,290.47,2
288.21,288.83,288.84,1
288.29,287.77,288.3899,2
287.31,287.72,288.08,1
288.79,288.1,288.91,1
288.57,287.92,288.63,1
287.18,286.78,287.459,2
286.42,287.32,287.76,2
285.97,286.04,286.23,1
285.83,284.7,286.16,1
282.48,282.39,282.84,1
280.71,280.35,281.21,2
279.65,281.11,281.76,1
281.12,280.99,282.18,1
279.04,278.87,280.1853,2
279.25,283.22,283.8034,1
284.73,280.64,285.18,2
281.55,282.16,283.5,2
282.4,283.51,284.36,1
282.33,281.55,282.66,1
281.31,280.54,282.21,2
281.16,281.37,281.84,1
281.34,280.48,282.38,1
279.49,279.06,280.07,1
278.44,275.26,278.62,1
274.46,272.94,274.65,2
275.01,276.83,276.99,2
277.33,279.15,279.16,2
279.02,279.54,279.76,2
279.4,281.6,281.87,2
280.42,280.44,280.88,2
278.68,278.96,279.45,1
279.2,278.52,279.59,1
279.32,279.13,280.3,2
279.52,280.73,281.31,1
279.14,278.11,279.36,2
277.42,277.7,278.1,1
278.41,277.81,278.92,1
277.85,276.481,278.58,1
277.37,276.36,277.41,1
274.38,273.78,275.64,2
274.99,275.03,275.93,1
274.1,272.42,274.52,2
270.62,271.2,271.49,1
270.47,268.75,270.58,2
270.14,270.94,271.55,2
272.74,272.79,273.34,1
273.1,272.44,273.44,1
271.96,270.11,272.03,2
270.06,270.15,271.2,1
269.93,267.51,270.47,1
267.58,265.1,268.52,2
263.41,263.92,264.55,1
263.76,263.39,263.83,1
265.78,265.61,266.7,1
263.55,263.21,264.2,2
263.41,264.01,264.79,2
262.86,264.82,265.06,1
266.46,264.98,266.98,1
262.96,260.01,263.92,1
260.98,260.83,261.9666,1
260.35,257.82,260.7,1
257.4,256.86,258.3,1
258.98,257.68,259.0098,1
258.88,256.26,259.16,1
257.97,257.56,258.91,2
256.77,256.82,257.31,1
254.38,252.69,255.95,1
252.39,247.59,253.11,2
244.21,248.23,248.57,1
