1240,4,same,up,down
286.66,285.23,287.33,283.3,0
287.53,287.53,289.43,286.87,2
287.93,290.15,290.81,285.81,1
292.82,289.25,293.31,288.9,1
294.03,292.82,294.34,291.2998,2
291.18,291.68,292.7,289.52,2
291.81,294.72,294.95,291.8,1
294.02,293.49,294.34,291.92,1
293.87,293.51,294.45,293.41,1
293.41,292.1,293.49,291.2401,2
292.05,292.12,292.78,290.73,2
292.23,292.79,293.16,292.07,1
292.88,290.68,293.14,290.42,1
290.27,289.17,290.435,289.07,2
290.02,290.1,290.32,288.66,2
289.45,291.4,291.425,288.99,2
290.16,290.95,291.01,289.5,2
289.97,290.24,290.35,289.075,1
290.16,290,290.47,288.261,2
288.21,288.83,288.84,287.578,1
288.29,287.77,288.3899,287.31,2
287.31,287.72,288.08,286.7,1
288.79,288.1,288.91,287.37,1
288.57,287.92,288.63,287.6,1
287.18,286.78,287.459,286.01,2
286.42,287.32,287.76,285.75,2
285.97,286.04,286.23,285.09,1
285.83,284.7,286.16,284.4,1
282.48,282.39,282.84,281.14,1
280.71,280.35,281.21,279.07,2
279.65,281.11,281.76,277.93,1
281.12,280.99,282.18,279.56,1
279.04,278.87,280.1853,277.64,2
279.25,283.22,283.8034,279.18,1
284.73,280.64,285.18,280.59,2
281.55,282.16,283.5,280.32,2
282.4,283.51,284.36,281.41,1
282.33,281.55,282.66,281.3,1
281.31,280.54,282.21,280.33,2
281.16,281.37,281.84,280.6662,1
281.34,280.48,282.38,280.3,1
279.49,279.06,280.07,278.85,1
278.44,275.26,278.62,275.23,1
274.46,272.94,274.65,272.42,2
275.01,276.83,276.99,274.07,2
277.33,279.15,279.16,276.97,2
279.02,279.54,279.76,278.41,2
279.4,281.6,281.87,276.84,2
280.42,280.44,280.88,278.82,2
278.68,278.96,279.45,278.32,1
279.2,278.52,279.59,277.48,1
279.32,279.13,280.3,278.9,2
279.52,280.73,281.31,279.43,1
279.14,278.11,279.36,277.4029,2
277.42,277.7,278.1,276.345,1
278.41,277.81,278.92,277.25,1
277.85,276.481,278.58,276.47,1
277.37,276.36,277.41,276.13,1
274.38,273.78,275.64,272.87,2
274.99,275.03,275.93,274.56,1
274.1,272.42,274.52,272.34,2
270.62,271.2,271.49,270.03,1
270.47,268.75,270.58,267.83,2
270.14,270.94,271.55,268.29,2
272.74,272.79,273.34,271.92,1
273.1,272.44,273.44,271.88,1
271.96,270.11,272.03,269.36,2
270.06,270.15,271.2,269.18,1
269.93,267.51,270.47,267.27,1
267.58,265.1,268.52,264.25,2
263.41,263.92,264.55,262.48,1
263.76,263.39,263.83,261.79,1
265.78,265.61,266.7,263.6595,1
263.55,263.21,264.2,262.08,2
263.41,264.01,264.79,260.66,2
262.86,264.82,265.06,261.06,1
266.46,264.98,266.98,262.998,1
262.96,260.01,263.92,259.96,1
260.98,260.83,261.9666,260.6,1
260.35,257.82,260.7,257.81,1
257.4,256.86,258.3,256.41,1
258.98,257.68,259.0098,257.03,1
258.88,256.26,259.16,255.5,1
257.97,257.56,258.91,256.19,2
256.77,256.82,257.31,254,1
254.38,252.69,255.95,251.69,1
252.39,247.59,253.11,247.17,2
244.21,248.23,248.57,243.67,1
250.18,245.98,251.21,245.95,1
249.92,249.56,250.19,247.47,2
247.75,249.58,251.4,246.45,1
248.07,242.57,248.29,238.96,1
246.18,235.97,246.18,233.76,2
234.34,239.04,240.8355,234.27,2
240.7,246.74,249.71,239.98,2
247.17,249.86,251.62,244.65,2
251.26,255.17,259.4,249.35,2
255.08,257.2,257.95,253.28,2
255.36,259.4,260.65,253.525,2
260.47,262.96,264.03,259.85,2
265.37,266.52,267.49,264.12,2
265.46,267.47,269,265.37,2
264.13,267.66,267.87,262.48,1
264.07,263.37,265.1613,258.62,2
263.57,269.46,271.22,262.63,1
269.84,265.92,269.97,262.44,2
270.25,278.37,278.85,269.9,2
279.3,280.28,280.4,277.505,1
275.65,273.81,276.28,273.45,1
273.98,273.71,275.55,272.43,1
274.58,269.6,274.58,268.3272,1
268.4,266.34,268.4,265.66,1
267.5,265.78,267.75,265.34,1
263.25,263.18,264.8234,263.07,2
265.02,265.86,267.15,265.01,2
264.12,265.36,267,263.15,2
269.1,273.05,273.38,268.07,1
273.73,271.79,274.75,271.21,1
273.02,268.78,273.54,267.0102,2
270.2,274.16,274.61,268.45,2
272.06,273.09,275.325,271.25,2
272.57,277.19,277.46,271.99,2
277.76,279.03,279.24,276.18,1
280.5,280.11,281.22,279.22,1
281.01,277.56,281.1,277.08,1
275.12,273.32,275.3,273.25,1
273.39,272.44,274.01,271.35,2
271.89,274.75,275.23,269.59,1
273.51,271.6,273.73,270.38,2
270.63,270.65,273.23,270.12,1
267.77,263.67,268.12,263.12,2
263.86,268.8,270.25,259.85,2
265.33,265.92,271,262.29,1
270.08,267.38,271.81,266.23,2
265.32,273.33,273.76,264.7,1
273.61,270.95,274.87,268.61,2
275.01,277,277.36,274.41,2
276.25,277.13,279.3,275.47,2
276.4,279.4,280.07,274.97,1
280.45,280.44,281.15,277.56,1
280.4,276.6,280.82,276.07,2
274.4,275.55,277.04,274.3,2
275.95,276.77,277.09,272.37,2
272.17,277.08,278.9,270.36,2
278.3,286.83,286.91,277.88,1
287.4,287.39,288.86,286.77,1
287.82,287.05,288.22,285.5,2
287.82,289.69,290.27,286.22,2
289.44,291.18,291.24,287.66,2
291.72,292.74,293.21,291.32,0
291.56,291.56,292.355,291.14,2
291.73,292.11,292.93,290.98,1
290.72,289.99,291.28,289.95,1
290.69,290.41,291.91,290.1,2
289.88,290.91,292.24,289.41,2
290.75,291.53,291.65,290.4833,2
291.02,291.34,291.5,290.37,2
291.99,293.09,293.22,291.81,1
293.58,292.64,293.94,291.2363,1
291.22,290.97,291.69,290.825,1
290.91,289.58,291.58,289.55,2
289.34,290.82,290.86,289.03,2
290.88,291.06,291.27,290,1
290.83,290.32,291.0384,289.995,1
289.12,289.06,289.8,288.23,1
289.05,287.37,289.55,286.975,2
288.1,288.74,289.04,287.88,1
287.6,286.98,288.7,286.71,2
288.16,289.15,289.49,287,2
289.03,289.41,289.64,287.89,2
289.81,289.84,290.21,288.68,1
290.31,289.84,290.81,289.29,2
290.3,290.94,291.36,289.63,1
291.48,290.16,291.74,289.8854,2
289.92,290.3,290.4175,289.4,1
289.78,288.86,289.9,288.68,1
287.51,286.44,287.67,286.38,2
285.79,285.97,286.94,285.43,1
286.17,285.88,286.76,285.575,1
286.34,286.25,287.31,285.7135,1
285.67,285.57,285.97,285.06,1
285.06,283.83,285.5601,283.37,1
284.06,283.4,285.04,283.36,2
281.78,282.38,282.54,280.16,1
283.9,282.92,284.17,282.4833,2
282.1,283.47,284.16,281.77,2
283.16,283.45,284.055,282.36,2
285.07,285.53,285.97,284.915,1
285.46,285.39,285.91,284.94,1
285.58,285.39,286.01,285.24,1
284.64,283.64,284.99,283.2015,1
283.6,282.53,283.6577,282.33,1
282.39,279.39,282.58,279.16,2
280.86,281.56,282.13,280.1315,1
281.33,280.81,282.02,280.38,2
279.95,281.51,281.69,279.36,2
281.42,283.71,283.82,280.38,1
283.34,283.2,284.11,283.09,1
284.01,281.33,284.37,281.28,2
281.61,281.79,282.56,280.63,1
280.2,279.45,280.43,279.06,2
279.68,279.77,280.48,279.5,2
280,280.31,280.74,279.46,1
281.06,280.56,281.18,280.06,1
280.47,278.47,280.91,278.41,2
279.34,279.64,279.803,278.84,1
279.59,279.17,279.93,278.66,1
279.37,278.28,279.43,277.6,2
276.86,277.15,278.04,276.52,1
278.9,278.41,279.01,278.08,1
277.9,276.55,277.96,276.5,1
275.42,273.14,275.84,272.715,1
273.11,272.17,273.18,270.96,2
270.9,272.87,272.98,270.42,1
271.86,269.51,272.04,269.24,2
271.28,272.12,273.66,271.1495,1
270.89,269.29,271.75,268.49,2
269.35,272.26,273.865,269.18,2
271.6,271.64,272.56,270.79,2
271,273.44,273.6162,269.1,2
274.74,275.66,275.785,274.49,2
274.24,275.96,275.98,273.68,2
275.97,276.27,276.72,275.59,1
275.5,274,275.75,273.53,1
276.56,275.49,276.7,274.95,1
277.13,276.6,277.51,275.35,2
278.73,279.01,279.33,278.0599,2
278.03,279.19,279.48,277.8,2
278.92,279.03,279.33,278.19,1
278.56,278.44,279.37,278.31,1
278.19,276.85,278.25,276.66,2
277.37,277.95,278.28,276.34,1
277.4,275.79,277.52,275.09,1
275.1,275.05,275.53,274.18,1
274.9,274.53,275.185,274.26,1
273.6,272.41,273.94,272.33,2
270.94,272.15,272.49,270.255,1
272.61,270.5,273.11,270.42,2
269.02,270.31,271.17,267.76,0
272.15,272.15,272.86,271.58,2
272.8,272.91,273.22,270.78,1
273.36,271.17,273.39,270.99,2
272.61,273.96,274.25,272.24,1
273.37,273.01,273.98,271.3512,2
271.33,271.62,272.03,270.93,1
272.01,271.94,273.23,271.13,1
272.24,271.14,272.76,271.11,2
271.1,271.59,271.61,270.03,2
272.98,273.34,274.08,272.36,1
272.85,272.16,273.15,271.58,1
272.02,270.34,272.39,270.22,1
269.5,267.68,269.865,267.09,1
266.92,266.5,267.325,265.15,1
266.92,266.89,268.02,266.11,1
266.02,261.52,266.7892,261.15,1
262.62,262.26,263.36,259.05,2
263.2,264.76,265.68,262.76,1
264.98,263.87,265.1,262.11,2
264.51,267.26,267.89,264.43,2
266.56,267,267.34,265.5,1
266.31,264.79,267.2452,264.29,1
263.63,262.91,264.13,260.85,2
262.98,267.73,267.9762,261.28,2
266.57,267.26,267.89,265.35,2
266.61,268.81,269.06,265.61,2
268.89,269.65,269.88,267.72,2
270.39,270.69,271.3,269.87,1
270.19,269.33,270.87,268.75,1
267.33,267,268.2,266.07,2
265.15,267.41,267.54,264.01,1
265.93,265.26,267,265.06,1
263.76,263.47,265.64,263.39,1
265.15,264.27,266.04,262.98,2
261,261.37,264.84,259.9356,2
259.72,263.42,265.11,258,1
265.64,265.55,266.64,264.32,1
263.56,256.75,264.355,256.6,1
260.77,258.87,261.31,256.84,2
257.47,262.55,263.13,254.67,1
263.15,261.12,265.26,259.8389,2
259.83,260.75,262.64,258.58,2
260.6,266.17,266.77,258.84,1
265.11,262.13,265.43,259.41,2
258.05,264.17,265.02,257.83,2
263.67,267.91,268.87,263.36,2
270.43,270.9,273.27,270.19,1
270.95,270.94,271.67,270.18,2
270.49,273.35,274.3957,268.62,2
274.2,274.5,275.39,274.14,2
275,275.88,276.61,274.43,2
275.3,277.81,278.02,274.67,2
276.72,279.84,280.41,276.03,2
278.52,279.2,279.91,278.0801,1
278.87,275.7,278.87,275.34,1
274.1,273.55,274.24,272.42,1
272.78,270.42,273.18,270.2,2
272.88,273.3,273.39,271.18,1
272.19,267.73,272.89,267.61,1
269.08,265.8,269.72,264.82,2
267.7,271.41,273.17,266,2
271.65,275.68,276.19,271.29,2
274.43,278.11,278.92,274.36,1
277.9,275.93,278.01,275.26,1
274.71,271.79,274.71,271.25,2
270.4,271.1,273.05,269.64,2
270.05,271.9,274.72,269.94,2
271.4,272.03,273.67,270.5,1
273.11,272.32,275.32,272.27,1
273.03,271.57,273.04,268.77,1
269.59,264.31,270,264.3,1
266,263.97,266.62,263.31,1
265.34,263.83,267.01,261.6644,1
261.5,260.8,263.61,252.92,2
257.63,268.01,268.17,257.59,2
267.67,268.5,272.36,267.58,1
269.13,259.94,269.7,258.7,2
263.93,273.45,275.85,263.31,2
275.45,280.08,280.23,275.41,1
281.58,281.07,283.06,280.68,2
281.9,282.73,283.3,280.68,2
281.76,282.6,284.736,281.22,2
284.68,285.93,286.43,284.5,1
286.58,284.25,286.6285,283.96,2
283.3,284.16,284.27,282.405,2
283.18,284.02,284.7,281.84,1
283.29,282.74,283.62,282.37,1
282.69,280.17,282.69,280.11,1
280.41,279.8,280.41,279.14,2
279.14,279.48,279.96,278.58,1
279.61,278.03,280.05,276.97,2
276.97,279.35,280.09,276.18,1
277.92,276.42,278.11,276.0819,1
276.12,274.75,276.12,274.56,1
274.12,273.68,274.42,272.92,1
274.54,274.4,275.25,274.081,1
273.92,273.31,274.1,272.98,1
273.42,272.51,273.56,271.95,1
271.61,271.2,272.16,270.5447,1
270.47,268.96,270.64,268.96,1
268.77,267.84,268.81,267.4,2
266.86,268.53,268.55,266.64,2
267.87,267.89,267.92,267.45,2
267.32,267.38,267.73,267.01,1
267.19,267.05,267.4377,266.885,2
267.51,267.6,267.635,266.9,2
267.58,267.74,268.385,267.3,2
267.03,268.27,268.33,266.69,2
267.17,268.48,268.53,267.09,1
268.2,268.1,268.6,267.98,1
266.51,265.45,267.04,265.39,2
265.66,267.09,267.22,265.6,2
266.75,267.06,267.56,266.65,1
266.78,266.57,267.32,266.345,1
