932,4,same,up,down
287.53,287.53,52.38,52.43,0
287.93,290.15,52.38,52.39,2
292.82,289.25,52.35,52.38,2
294.03,292.82,52.25,52.26,2
291.18,291.68,52.21,52.23,2
291.81,294.72,52.2,52.22,2
294.02,293.49,52.29,52.31,2
293.87,293.51,52.26,52.23,2
293.41,292.1,52.28,52.24,1
292.05,292.12,52.16,52.17,1
292.23,292.79,52.15,52.16,2
292.88,290.68,52.04,52.04,2
290.27,289.17,52.02,51.99,0
290.02,290.1,52,51.99,1
289.45,291.4,51.96,51.99,1
290.16,290.95,51.99,51.97,2
289.97,290.24,51.99,51.98,1
290.16,290,51.95,51.97,1
288.21,288.83,52,52.01,2
288.29,287.77,51.99,51.98,2
287.31,287.72,51.98,51.98,1
288.79,288.1,51.95,51.95,0
288.57,287.92,51.96,51.94,0
287.18,286.78,51.94,51.93,1
286.42,287.32,51.93,51.93,1
285.97,286.04,52,51.95,0
285.83,284.7,52.01,52,1
282.48,282.39,52.15,52.12,1
280.71,280.35,52.21,52.19,1
279.65,281.11,52.18,52.13,1
281.12,280.99,52.1,52.07,1
279.04,278.87,52.07,52,1
279.25,283.22,52.02,51.94,1
284.73,280.64,51.82,51.84,1
281.55,282.16,51.75,51.69,2
282.4,283.51,51.68,51.63,1
282.33,281.55,51.65,51.67,1
281.31,280.54,51.67,51.63,2
281.16,281.37,51.58,51.6,1
281.34,280.48,51.63,51.61,2
279.49,279.06,51.61,51.59,1
278.44,275.26,51.58,51.6,1
274.46,272.94,51.6,51.62,2
275.01,276.83,51.53,51.52,2
277.33,279.15,51.47,51.42,1
279.02,279.54,51.39,51.38,1
279.4,281.6,51.41,51.36,1
280.42,280.44,51.33,51.37,1
278.68,278.96,51.48,51.54,2
279.2,278.52,51.47,51.52,2
279.32,279.13,51.55,51.5,2
279.52,280.73,51.46,51.43,1
279.14,278.11,51.49,51.45,1
277.42,277.7,51.42,51.43,1
278.41,277.81,51.48,51.45,2
277.85,276.481,51.43,51.42,1
277.37,276.36,51.39,51.37,1
274.38,273.78,51.36,51.41,1
274.99,275.03,51.34,51.36,2
274.1,272.42,51.37,51.34,2
270.62,271.2,51.37,51.38,1
270.47,268.75,51.38,51.37,2
270.14,270.94,51.35,51.29,1
272.74,272.79,51.23,51.2,1
273.1,272.44,51.21,51.2,1
271.96,270.11,51.19,51.11,1
270.06,270.15,51.13,51.22,1
269.93,267.51,51.29,51.25,2
267.58,265.1,51.18,51.19,1
263.41,263.92,51.19,51.18,2
263.76,263.39,51.13,51.13,1
265.78,265.61,51.09,51.13,0
263.55,263.21,51.15,51.13,2
263.41,264.01,51.1,51.09,1
262.86,264.82,51.14,51.19,1
266.46,264.98,51.11,51.18,2
262.96,260.01,51.11,51.15,2
260.98,260.83,51.14,51.12,2
260.35,257.82,51.13,51.16,1
257.4,256.86,51.12,51.11,2
258.98,257.68,51.1,51.11,1
258.88,256.26,51.03,50.97,2
257.97,257.56,50.99,51.09,1
256.77,256.82,51.06,51.13,2
254.38,252.69,51.1,51.19,2
252.39,247.59,51.03,51.12,2
244.21,248.23,51.19,51.09,2
250.18,245.98,51.06,51.07,1
249.92,249.56,51.05,51.04,2
247.75,249.58,51.05,51,1
248.07,242.57,50.93,50.96,1
246.18,235.97,50.82,50.95,2
234.34,239.04,50.95,50.95,2
240.7,246.74,51.02,50.96,0
247.17,249.86,50.98,51,1
251.26,255.17,50.98,50.91,2
255.08,257.2,50.88,50.81,1
255.36,259.4,50.77,50.71,1
260.47,262.96,50.78,50.76,1
265.37,266.52,50.74,50.79,1
265.46,267.47,50.74,50.77,2
264.13,267.66,50.76,50.78,2
264.07,263.37,50.82,50.78,2
263.57,269.46,50.77,50.72,1
269.84,265.92,50.76,50.73,1
270.25,278.37,50.68,50.59,1
279.3,280.28,50.52,50.43,1
275.65,273.81,50.54,50.58,1
273.98,273.71,50.53,50.5,2
274.58,269.6,50.42,50.38,1
268.4,266.34,50.37,50.33,1
267.5,265.78,50.38,50.37,1
263.25,263.18,50.38,50.39,1
265.02,265.86,50.34,50.35,2
264.12,265.36,50.35,50.35,2
269.1,273.05,50.31,50.27,0
273.73,271.79,50.29,50.2,1
273.02,268.78,50.21,50.22,1
270.2,274.16,50.15,50.05,2
272.06,273.09,50.12,50.1,1
272.57,277.19,50.11,50.06,1
277.76,279.03,50.06,50,1
280.5,280.11,49.98,50.01,1
281.01,277.56,49.97,50,2
275.12,273.32,49.91,49.93,2
273.39,272.44,49.94,49.88,2
271.89,274.75,49.85,49.98,1
273.51,271.6,49.99,50.02,2
270.63,270.65,50.16,50.2,2
267.77,263.67,50.22,50.24,2
263.86,268.8,50.28,50.27,2
265.33,265.92,50.27,50.25,1
270.08,267.38,50.22,50.24,1
265.32,273.33,50.25,50.21,2
273.61,270.95,50.18,50.23,1
275.01,277,50.13,50.1,2
276.25,277.13,50.08,50.06,1
276.4,279.4,50.13,50.01,1
280.45,280.44,50.03,50.06,1
280.4,276.6,50.05,50.04,2
274.4,275.55,50,50.04,1
275.95,276.77,50.02,50.04,2
272.17,277.08,50.09,50.12,2
278.3,286.83,50.03,50.03,2
287.4,287.39,50.12,50.23,0
287.82,287.05,50.11,50.14,2
287.82,289.69,50.15,50.21,2
289.44,291.18,50.2,50.24,2
291.72,292.74,50.3,50.43,2
291.56,291.56,50.43,50.44,2
291.73,292.11,50.39,50.4,2
290.72,289.99,50.51,50.56,2
290.69,290.41,50.52,50.49,2
289.88,290.91,50.5,50.49,1
290.75,291.53,50.41,50.43,1
291.02,291.34,50.47,50.52,2
291.99,293.09,50.53,50.48,2
293.58,292.64,50.47,50.5,1
291.22,290.97,50.55,50.55,2
290.91,289.58,50.58,50.62,0
289.34,290.82,50.66,50.63,2
290.88,291.06,50.65,50.64,1
290.83,290.32,50.71,50.72,1
289.12,289.06,50.69,50.71,2
289.05,287.37,50.69,50.7,2
288.1,288.74,50.7,50.69,2
287.6,286.98,50.69,50.75,1
288.16,289.15,50.81,50.87,2
289.03,289.41,50.84,50.86,2
289.81,289.84,50.84,50.86,2
290.31,289.84,51,51.03,2
290.3,290.94,51.01,51.02,2
291.48,290.16,50.9802,50.99,2
289.92,290.3,51,51.01,2
289.78,288.86,51.02,51.04,2
287.51,286.44,51.02,50.99,2
285.79,285.97,51.03,51.02,1
286.17,285.88,51.02,51.05,1
286.34,286.25,51.01,51.01,2
285.67,285.57,51.03,51.05,0
285.06,283.83,51.01,50.99,2
284.06,283.4,50.99,51.01,1
281.78,282.38,50.98,51.01,2
