51,4,same,up,
5.6,4.5,4.5,1.369,1
5.6,4.8,4.8,0.6,2
5.5,5,5,-0.28,1
5.3,4.7,4.7,1.03,2
5.5,4.8,4.8,-1.21,1
5.2,4.7,4.7,0.19,1
5.2,4.7,4.7,0.68,2
5.3,4.4,4.4,-0.28,2
5.2,4.9,4.9,-0.02,2
5.3,4.8,4.8,-2.2,2
5,4.7,4.7,-0.52,2
5,4.7,4.7,-1.82,2
5.3,5.1,5.1,-1.82,1
5,4.7,4.7,1.52,1
5.1,4.6,4.6,3.18,1
5,4.2,4.2,0.43,1
4.8,4.5,4.5,0.86,2
4.7,4.1,4.1,-0.21,1
4.7,4.3,4.3,0.77,1
5.1,4.6,4.6,0.78,2
5.2,4.4,4.4,-1.11,2
5.2,4.5,4.5,-0.61,1
6,5.8,5.8,4.09,2
5.4,5.1,5.1,-3.97,1
5.5,4.7,4.7,0.17,1
5.5,4.8,4.8,0.13,2
4.8,4.3,4.3,-1.46,1
4.9,4.4,4.4,0.36,1
4.9,4.8,4.8,0.09,1
5.3,4.5,4.5,1.13,2
5.2,4.6,4.6,-0.07,2
5.3,4.5,4.5,-0.9,1
5.4,4.2,4.2,0.4,1
4.7,4.3,4.3,0.65,1
4.8,4.3,4.3,0.69,2
4.9,4.3,4.3,-0.41,1
4.5,4.2,4.2,0.52,2
5,4.1,4.1,-0.62,1
4.4,4.1,4.1,0.16,2
4.9,4.1,4.1,-0.27,2
4.7,4.2,4.2,-0.79,2
4.8,5.4,5.4,-1.95,2
0.3,1.4,1.4,-0.08,1
4.3,4.3,4.3,1.1,1
4.9,4.6,4.6,2.2,2
4.8,4.6,4.6,-0.56,2
4.6,4.4,4.4,-0.07,1
4.2,4.3,4.3,1.31,1
4.4,4.2,4.2,0.36,1
4.5,4,4,0.53,2
4.5,4.5,4.5,-2.21,2
