53,4,same,up,down
55,49,49,49,1
56,45,45,45,1
56,48,48,48,2
55,50,50,50,1
53,47,47,47,1
55,48,48,48,1
52,47,47,47,2
52,47,47,47,2
53,44,44,44,2
52,49,49,49,1
53,48,48,48,1
50,47,47,47,1
50,47,47,47,1
53,51,51,51,2
50,47,47,47,2
51,46,46,46,1
50,42,42,42,1
48,45,45,45,2
47,41,41,41,1
47,43,43,43,2
51,46,46,46,1
52,44,44,44,1
52,45,45,45,2
60,58,58,58,1
54,51,51,51,1
55,47,47,47,1
55,48,48,48,1
48,43,43,43,1
49,44,44,44,1
49,48,48,48,1
53,45,45,45,1
52,46,46,46,0
53,45,45,45,1
54,42,42,42,1
47,43,43,43,0
48,43,43,43,0
49,43,43,43,1
45,42,42,42,2
50,41,41,41,2
44,41,41,41,1
49,41,41,41,1
47,42,42,42,2
48,54,54,54,1
3,14,14,14,1
43,43,43,43,0
49,46,46,46,2
48,46,46,46,2
46,44,44,44,1
42,43,43,43,1
44,42,42,42,2
45,40,40,40,2
45,45,45,45,2
48,43,43,43,2
