53,4,same,up,down
5.5,4.9,4.9,4.9,1
5.6,4.5,4.5,4.5,1
5.6,4.8,4.8,4.8,2
5.5,5,5,5,1
5.3,4.7,4.7,4.7,2
5.5,4.8,4.8,4.8,1
5.2,4.7,4.7,4.7,1
5.2,4.7,4.7,4.7,2
5.3,4.4,4.4,4.4,2
5.2,4.9,4.9,4.9,2
5.3,4.8,4.8,4.8,2
5,4.7,4.7,4.7,2
5,4.7,4.7,4.7,2
5.3,5.1,5.1,5.1,1
5,4.7,4.7,4.7,1
5.1,4.6,4.6,4.6,1
5,4.2,4.2,4.2,1
4.8,4.5,4.5,4.5,2
4.7,4.1,4.1,4.1,1
4.7,4.3,4.3,4.3,1
5.1,4.6,4.6,4.6,2
5.2,4.4,4.4,4.4,2
5.2,4.5,4.5,4.5,1
6,5.8,5.8,5.8,2
5.4,5.1,5.1,5.1,1
5.5,4.7,4.7,4.7,1
5.5,4.8,4.8,4.8,2
4.8,4.3,4.3,4.3,1
4.9,4.4,4.4,4.4,1
4.9,4.8,4.8,4.8,1
5.3,4.5,4.5,4.5,2
5.2,4.6,4.6,4.6,2
5.3,4.5,4.5,4.5,1
5.4,4.2,4.2,4.2,1
4.7,4.3,4.3,4.3,1
4.8,4.3,4.3,4.3,2
4.9,4.3,4.3,4.3,1
4.5,4.2,4.2,4.2,2
5,4.1,4.1,4.1,1
4.4,4.1,4.1,4.1,2
4.9,4.1,4.1,4.1,2
4.7,4.2,4.2,4.2,2
4.8,5.4,5.4,5.4,2
0.3,1.4,1.4,1.4,1
4.3,4.3,4.3,4.3,1
4.9,4.6,4.6,4.6,2
4.8,4.6,4.6,4.6,2
4.6,4.4,4.4,4.4,1
4.2,4.3,4.3,4.3,1
4.4,4.2,4.2,4.2,1
4.5,4,4,4,2
4.5,4.5,4.5,4.5,2
4.8,4.3,4.3,4.3,1
