53,4,same,up,down
5.5,4.9,4.9,1.369,1
5.6,4.5,4.5,0.6,1
5.6,4.8,4.8,-0.28,2
5.5,5,5,1.03,1
5.3,4.7,4.7,-1.21,2
5.5,4.8,4.8,0.19,1
5.2,4.7,4.7,0.68,1
5.2,4.7,4.7,-0.28,2
5.3,4.4,4.4,-0.02,2
5.2,4.9,4.9,-2.2,2
5.3,4.8,4.8,-0.52,2
5,4.7,4.7,-1.82,2
5,4.7,4.7,-1.82,2
5.3,5.1,5.1,1.52,1
5,4.7,4.7,3.18,1
5.1,4.6,4.6,0.43,1
5,4.2,4.2,0.86,1
4.8,4.5,4.5,-0.21,2
4.7,4.1,4.1,0.77,1
4.7,4.3,4.3,0.78,1
5.1,4.6,4.6,-1.11,2
5.2,4.4,4.4,-0.61,2
5.2,4.5,4.5,4.09,1
6,5.8,5.8,-3.97,2
5.4,5.1,5.1,0.17,1
5.5,4.7,4.7,0.13,1
5.5,4.8,4.8,-1.46,2
4.8,4.3,4.3,0.36,1
4.9,4.4,4.4,0.09,1
4.9,4.8,4.8,1.13,1
5.3,4.5,4.5,-0.07,2
5.2,4.6,4.6,-0.9,2
5.3,4.5,4.5,0.4,1
5.4,4.2,4.2,0.65,1
4.7,4.3,4.3,0.69,1
4.8,4.3,4.3,-0.41,2
4.9,4.3,4.3,0.52,1
4.5,4.2,4.2,-0.62,2
5,4.1,4.1,0.16,1
4.4,4.1,4.1,-0.27,2
4.9,4.1,4.1,-0.79,2
4.7,4.2,4.2,-1.95,2
4.8,5.4,5.4,-0.08,2
0.3,1.4,1.4,1.1,1
4.3,4.3,4.3,2.2,1
4.9,4.6,4.6,-0.56,2
4.8,4.6,4.6,-0.07,2
4.6,4.4,4.4,1.31,1
4.2,4.3,4.3,0.36,1
4.4,4.2,4.2,0.53,1
4.5,4,4,-2.21,2
4.5,4.5,4.5,-0.63,2
4.8,4.3,4.3,2.85,1
