2497,4,same,up,down
146.24,1923948,146.06,147.635,1
147.28,2319528,146.33,148.03,1
145.96,2072281,144.23,146.27,1
145.1,3090493,144.28,145.91,1
143.8,4242118,144.7,145.15,2
147.53,3175474,146.33,147.96,1
146.85,2768002,146.06,147.175,1
147.32,2492088,147.35,148.2396,2
147.56,4385772,148.84,149.09,2
150.15,2635339,148.19,150.34,1
150.63,2147145,149.8,150.7,1
149.02,2537824,149.15,149.74,2
149.27,3761540,150.8,150.87,2
150.39,2224492,150.28,150.6,1
150.38,2461500,150.22,150.69,1
150.16,2184457,149.41,150.16,1
149.35,2428236,149.54,149.69,2
149.6,1924609,149.78,150.05,2
149.8,2344167,148.55,149.92,1
148.31,2148562,147.95,148.405,1
148.27,2457028,148.4,148.4,2
148.05,2983603,149.2,149.22,2
148.6,2953272,149,149.06,2
148.56,2083023,148.75,148.8,2
148.68,2611924,148.55,148.8,1
147.69,1794146,147.94,147.96,2
147.7,2018914,147.24,147.72,1
147.02,2150712,147.32,147.48,2
147.91,2130459,147.54,147.93,1
147.78,1744464,147.39,147.83,1
147.04,2248398,146.84,147.15,1
146.73,2404410,147.08,147.34,2
146.38,4292788,146.42,146.5,2
146.39,3665176,145.76,146.48,1
144.71,3613426,144.61,144.785,1
143.76,2654498,143.46,143.98,1
143.13,3402707,143.84,144.15,2
143.79,2860989,143.7,144.3799,1
142.69,3676443,142.58,143.31,1
143.56,5149899,145.84,146.07,2
146.62,2949691,144.48,146.8401,1
144.92,2897218,145.32,145.99,2
145.52,6104596,146.12,146.47,2
145.55,2489653,145.1,145.76,1
145.01,2323995,144.62,145.48,1
144.34,1493431,144.46,144.64,2
144.46,2013524,143.96,144.95,1
143.54,1965676,143.33,143.8432,1
143.06,1908328,141.39,143.11,1
140.99,2327895,140.13,141.03,1
141.28,2850774,142.16,142.25,2
142.39,2138842,143.52,143.549,2
143.48,2838003,143.81,143.8999,2
143.75,3553682,145,145.03,2
144.42,2985134,144.38,144.6,1
143.46,2275139,143.65,143.9,2
143.76,2046501,143.39,143.97,1
143.71,2155169,143.75,144.23,2
143.98,3916200,144.56,144.88,2
143.77,1838420,143.2,143.836,1
142.83,3684925,143.06,143.14,2
143.32,2356995,143.05,143.53,1
143.02,2467617,142.41,143.3899,1
142.74,2537228,142.16,142.77,1
141.19,2731360,140.86,141.81,1
141.44,2369331,141.45,141.88,2
141,3311325,140.12,141.1799,1
139.26,2336940,139.4,139.5528,2
138.97,2104788,138.14,138.99,1
138.83,5096862,139.18,139.49,2
140.16,2944841,140.15,140.4,1
140.3,2758495,139.95,140.45,1
139.72,4938031,138.76,139.7499,1
138.73,3225333,138.7,139.2,1
138.53,3932769,137.27,138.77,1
137.32,3059655,136.15,137.81,1
135.28,2974315,135.62,135.87,2
135.47,4370151,135.24,135.52,1
136.47,2986228,136.23,136.82,1
135.2,3785197,134.93,135.47,1
134.92,3934187,135.38,135.77,2
134.78,5035700,135.89,135.92,2
136.65,4223851,135.89,136.94,1
134.9,4400288,133.4,135.3996,1
133.82,2963128,133.67,134.33,1
133.44,4542116,132.19,133.56,1
132,2479388,131.79,132.49,1
132.84,3033841,132.13,132.86,1
132.81,2685619,131.44,132.89,1
132.16,6405105,132.02,132.67,1
131.54,3947605,131.45,131.73,1
130.2,4485051,129.19,131.04,1
128.9,4776874,126.48,129.37,1
124.77,5252877,126.91,126.91,2
127.73,5085309,125.75,128.16,1
127.63,9414794,127.38,127.73,1
126.43,11668080,127.5,128.31,2
126.59,16125920,123.76,126.59,1
125.46,12511600,120.34,125.52,1
119.7,14488500,121.9,122.54,2
123.49,13604170,126.51,127.97,2
126.17,13119680,127.51,128.38,2
128.24,8007383,130.28,132.39,2
130.24,8065423,131.26,131.7399,2
130.28,7192171,132.54,133.159,2
133.12,4503186,134.26,134.92,2
135.46,3294375,136.24,136.69,2
135.79,3719336,136.72,137.51,2
135.02,3459195,136.86,137.015,2
135.05,5046755,134.81,135.5999,1
134.9,4986116,137.94,138.87,2
138.16,6542930,136.15,138.16,1
138.33,3917382,142.64,142.82,2
143,3655337,143.6,144,2
141.35,2142044,140.24,141.51,1
140.34,2895018,140.19,141.16,1
140.6,6060916,138.03,140.6,1
137.4,2860106,136.65,137.42,1
137.23,4697462,136.48,137.28,1
135.13,1300011,134.92,135.919,1
135.86,4151343,136,136.89,2
135.2,4627154,135.73,136.62,2
137.65,3480896,139.83,139.93,2
140.08,2272301,139.07,140.57,1
139.78,2618729,137.55,140.01,1
138.22,2765184,140.34,140.571,2
139.24,2290504,139.77,140.92,2
139.44,3529868,141.79,141.97,2
142.17,2226341,142.91,142.96,2
143.64,1873388,143.55,144.0648,1
143.92,2781204,142.3,143.9999,1
141.04,2029677,140.19,141.11,1
140.24,3140174,139.8,140.52,1
139.56,3171338,140.93,141.2,2
140.13,3713324,139.04,140.37,1
138.56,4034486,138.6,139.84,2
