2497,,same,up,down
146.24,192394.8,146.06,147.635,1
147.28,231952.8,146.33,148.03,1
145.96,207228.1,144.23,146.27,1
145.1,309049.3,144.28,145.91,1
143.8,424211.8,144.7,145.15,2
147.53,317547.4,146.33,147.96,1
146.85,276800.2,146.06,147.175,1
147.32,249208.8,147.35,148.2396,2
147.56,438577.2,148.84,149.09,2
150.15,263533.9,148.19,150.34,1
150.63,214714.5,149.8,150.7,1
149.02,253782.4,149.15,149.74,2
149.27,376154,150.8,150.87,2
150.39,222449.2,150.28,150.6,1
150.38,246150,150.22,150.69,1
150.16,218445.7,149.41,150.16,1
149.35,242823.6,149.54,149.69,2
149.6,192460.9,149.78,150.05,2
149.8,234416.7,148.55,149.92,1
148.31,214856.2,147.95,148.405,1
148.27,245702.8,148.4,148.4,2
148.05,298360.3,149.2,149.22,2
148.6,295327.2,149,149.06,2
148.56,208302.3,148.75,148.8,2
148.68,261192.4,148.55,148.8,1
147.69,179414.6,147.94,147.96,2
147.7,201891.4,147.24,147.72,1
147.02,215071.2,147.32,147.48,2
147.91,213045.9,147.54,147.93,1
147.78,174446.4,147.39,147.83,1
147.04,224839.8,146.84,147.15,1
146.73,240441,147.08,147.34,2
146.38,429278.8,146.42,146.5,2
146.39,366517.6,145.76,146.48,1
144.71,361342.6,144.61,144.785,1
143.76,265449.8,143.46,143.98,1
143.13,340270.7,143.84,144.15,2
143.79,286098.9,143.7,144.3799,1
142.69,367644.3,142.58,143.31,1
143.56,514989.9,145.84,146.07,2
146.62,294969.1,144.48,146.8401,1
144.92,289721.8,145.32,145.99,2
145.52,610459.6,146.12,146.47,2
145.55,248965.3,145.1,145.76,1
145.01,232399.5,144.62,145.48,1
144.34,149343.1,144.46,144.64,2
144.46,201352.4,143.96,144.95,1
143.54,196567.6,143.33,143.8432,1
143.06,190832.8,141.39,143.11,1
140.99,232789.5,140.13,141.03,1
141.28,285077.4,142.16,142.25,2
142.39,213884.2,143.52,143.549,2
143.48,283800.3,143.81,143.8999,2
143.75,355368.2,145,145.03,2
144.42,298513.4,144.38,144.6,1
143.46,227513.9,143.65,143.9,2
143.76,204650.1,143.39,143.97,1
143.71,215516.9,143.75,144.23,2
143.98,391620,144.56,144.88,2
143.77,183842,143.2,143.836,1
142.83,368492.5,143.06,143.14,2
143.32,235699.5,143.05,143.53,1
143.02,246761.7,142.41,143.3899,1
142.74,253722.8,142.16,142.77,1
141.19,273136,140.86,141.81,1
141.44,236933.1,141.45,141.88,2
141,331132.5,140.12,141.1799,1
139.26,233694,139.4,139.5528,2
138.97,210478.8,138.14,138.99,1
138.83,509686.2,139.18,139.49,2
140.16,294484.1,140.15,140.4,1
140.3,275849.5,139.95,140.45,1
139.72,493803.1,138.76,139.7499,1
138.73,322533.3,138.7,139.2,1
138.53,393276.9,137.27,138.77,1
137.32,305965.5,136.15,137.81,1
135.28,297431.5,135.62,135.87,2
135.47,437015.1,135.24,135.52,1
136.47,298622.8,136.23,136.82,1
135.2,378519.7,134.93,135.47,1
134.92,393418.7,135.38,135.77,2
134.78,503570,135.89,135.92,2
136.65,422385.1,135.89,136.94,1
134.9,440028.8,133.4,135.3996,1
133.82,296312.8,133.67,134.33,1
133.44,454211.6,132.19,133.56,1
132,247938.8,131.79,132.49,1
132.84,303384.1,132.13,132.86,1
132.81,268561.9,131.44,132.89,1
132.16,640510.5,132.02,132.67,1
131.54,394760.5,131.45,131.73,1
130.2,448505.1,129.19,131.04,1
128.9,477687.4,126.48,129.37,1
124.77,525287.7,126.91,126.91,2
127.73,508530.9,125.75,128.16,1
127.63,941479.4,127.38,127.73,1
126.43,1166808,127.5,128.31,2
126.59,1612592,123.76,126.59,1
125.46,1251160,120.34,125.52,1
119.7,1448850,121.9,122.54,2
123.49,1360417,126.51,127.97,2
126.17,1311968,127.51,128.38,2
128.24,800738.3,130.28,132.39,2
130.24,806542.3,131.26,131.7399,2
130.28,719217.1,132.54,133.159,2
133.12,450318.6,134.26,134.92,2
135.46,329437.5,136.24,136.69,2
135.79,371933.6,136.72,137.51,2
135.02,345919.5,136.86,137.015,2
135.05,504675.5,134.81,135.5999,1
134.9,498611.6,137.94,138.87,2
138.16,654293,136.15,138.16,1
138.33,391738.2,142.64,142.82,2
143,365533.7,143.6,144,2
141.35,214204.4,140.24,141.51,1
140.34,289501.8,140.19,141.16,1
140.6,606091.6,138.03,140.6,1
137.4,286010.6,136.65,137.42,1
137.23,469746.2,136.48,137.28,1
135.13,130001.1,134.92,135.919,1
135.86,415134.3,136,136.89,2
135.2,462715.4,135.73,136.62,2
137.65,348089.6,139.83,139.93,2
140.08,227230.1,139.07,140.57,1
139.78,261872.9,137.55,140.01,1
138.22,276518.4,140.34,140.571,2
139.24,229050.4,139.77,140.92,2
139.44,352986.8,141.79,141.97,2
142.17,222634.1,142.91,142.96,2
143.64,187338.8,143.55,144.0648,1
